レース	馬番	馬名	前半3F	向正面	出自
1	1		39.1	内	実測(旧)
1	2		38.7		実測(旧)
1	3		39.7		実測(旧)
1	4		39.7	外2	実測(旧)
1	5		38.9		実測(旧)
1	6		39.0		実測(旧)
1	7		39.9	外2	実測(旧)
1	8		39.4		実測(旧)
1	9		39.1		実測(旧)
2	1		37.1		実測(旧)
2	2		37.5	内	実測(旧)
2	3		37.9	内	実測(旧)
2	4		38.9	内	実測(旧)
2	5		38.8	外3	実測(旧)
2	6		38.2	内	実測(旧)
2	7		39.3	外2	実測(旧)
2	8		37.2		実測(旧)
2	9		37.5		実測(旧)
2	10		37.2		実測(旧)
3	1		41.8	内	実測(旧)
3	2		42.0	内	実測(旧)
3	3		41.5		実測(旧)
3	4		41.5		実測(旧)
3	5		42.4	外2	実測(旧)
3	6		42.7	外3	実測(旧)
3	7		41.8	外2	実測(旧)
3	8		41.8		実測(旧)
3	9		42.4	外2	実測(旧)
3	10		42.9	外3	実測(旧)
4	1		37.5	内	実測(旧)
4	2		38.8	外3	実測(旧)
4	3		38.0	外2	実測(旧)
4	4		39.0	外3	実測(旧)
4	5		39.3	外3	実測(旧)
4	6		37.6	内	実測(旧)
4	7		37.7	外2	実測(旧)
4	8		38.5	外2	実測(旧)
4	9		38.7	外3	実測(旧)
4	10		38.1	外2	実測(旧)
5	2		39.0	外3	実測(旧)
5	3		38.6	外3	実測(旧)
5	4		38.6	外3	実測(旧)
5	5		38.5	外3	実測(旧)
5	6		38.3	外3	実測(旧)
5	7		37.8	外2	実測(旧)
5	8		38.1	外3	実測(旧)
5	9		39.1	外3	実測(旧)
5	10		37.5	内	実測(旧)
6	1		39.3	内	実測(旧)
6	2		40.5	外2	実測(旧)
6	3		39.5	外2	実測(旧)
6	4		38.9		実測(旧)
6	5		39.7	外2	実測(旧)
6	6		39.1		実測(旧)
6	7		40.2	外2	実測(旧)
6	8		40.5	外2	実測(旧)
6	9		39.5		実測(旧)
6	10		39.1		実測(旧)
7	1		38.6	内	実測(旧)
7	2		38.7	外2	実測(旧)
7	3		38.8	外2	実測(旧)
7	4		38.7	外2	実測(旧)
7	5		39.4	外2	実測(旧)
7	6		39.5	外3	実測(旧)
7	7		38.1	外2	実測(旧)
7	8		38.3	内	実測(旧)
7	9		38.0	内	実測(旧)
8	1		40.5	内	実測(旧)
8	3		39.6	外3	実測(旧)
8	4		39.9	外2	実測(旧)
8	5		40.3	外2	実測(旧)
8	6		39.7	外3	実測(旧)
8	7		40.4	外3	実測(旧)
8	8		40.2	外2	実測(旧)
8	9		39.5	外2	実測(旧)
8	10		39.3	外2	実測(旧)
8	11		39.4	外3	実測(旧)
8	12		39.5	外3	実測(旧)
9	1		37.3	内	実測(旧)
9	2		38.3	外2	実測(旧)
9	3		37.3	外2	実測(旧)
9	4		37.7	外2	実測(旧)
9	5		37.5	外2	実測(旧)
9	6		37.9	内	実測(旧)
9	7		37.4	内	実測(旧)
9	8		37.9	外2	実測(旧)
9	9		38.0	外3	実測(旧)
9	10		38.3	外3	実測(旧)
9	11		38.2	内	実測(旧)
10	1		39.3	外3	実測(旧)
10	2		39.2	外3	実測(旧)
10	3		39.0	外3	実測(旧)
10	4		40.2	大外	実測(旧)
10	5		39.1	外3	実測(旧)
10	6		38.9	外2	実測(旧)
10	7		40.0	大外	実測(旧)
10	8		39.3	外2	実測(旧)
10	9		39.5	外3	実測(旧)
10	10		39.6	大外	実測(旧)
10	11		39.0	内	実測(旧)
11	1		39.4	外3	実測(旧)
11	2		39.7	外2	実測(旧)
11	3		40.1	外3	実測(旧)
11	4		38.8		実測(旧)
11	5		39.1	内	実測(旧)
11	6		39.7	外2	実測(旧)
11	7		41.0	外3	実測(旧)
11	8		39.1	外3	実測(旧)
11	9		39.9	外2	実測(旧)
11	10		39.1	外3	実測(旧)
11	11		39.6	外3	実測(旧)
11	12		38.2		実測(旧)
